Artista,Era,Collaborazioni
John Romita Jr.,bronze,24
Stan Lee,gold,19
Gerry Conway,bronze,17
Ron Wilson,bronze,17
Greg Land,modern,17
Jack Kirby,gold,16
Mark Bagley,modern,16
Chris Claremont,bronze,15
Roy Thomas,grey,14
Gil Kane,bronze,13
Al Ewing,modern,13
Bill Mantlo,bronze,12
Don Heck,grey,12
Gene Colan,grey,12
Brian Michael Bendis,modern,12
Fabian Nicieza,modern,12
Doug Moench,bronze,11
Dan Slott,modern,11
Leinil Francis Yu,modern,11
Kieron Gillen,modern,10
Nick Spencer,modern,10
Fred Hembeck,bronze,9
Syd Shores,gold,9
Bill Everett,grey,9
Daniel Acuna,modern,9
Don Perlin,bronze,8
Greg Pak,modern,8
Alex Schomburg,gold,5
"Dennis ""Hopeless"" Hallum",modern,5
Ray Gill,gold,4
Artie Simek,grey,3
Mike O'sullivan,modern,2
Bob DeNatale,bronze,1
Warren Kremer,bronze,1
Farel Dalrymple,modern,1
